test,dimensions,error1,error2,time
knn,2,0.15,0.915,0.006702701209578663
knn,102,0.13,0.88,0.061213175449520346
knn,202,0.075,0.805,0.12877849940443412
knn,302,0.095,0.66,0.18266896086512133
knn,402,0.07,0.675,0.23067831936525182
knn,502,0.08,0.57,0.2790001507801935
knn,602,0.08,0.44,0.3260560918971896
knn,702,0.135,0.31,0.373584262074437
knn,802,0.11,0.26,0.4193791305180639
knn,902,0.105,0.165,0.46658417604397984
knn,1000,0.115,0.09,0.5125538361282088
som,2,0.06,0.89,0.03792312667239457
som,102,0.065,0.9,0.1461231750785373
som,202,0.095,0.92,0.27827673175837847
som,302,0.09,0.945,0.4175587194343098
som,402,0.075,0.94,0.559494529706426
som,502,0.085,0.875,0.7006610152684152
som,602,0.035,0.905,0.8392023984529078
som,702,0.08,0.91,0.9801383774681017
som,802,0.07,0.905,1.1210248667094858
som,902,0.06,0.91,1.2610663529718296
som,1000,0.08,0.91,1.3880964322807268
c2st_knn,2,0.12,0.9,0.005863048671744764
c2st_knn,102,0.1,0.91,0.00910030041821301
c2st_knn,202,0.065,0.91,0.01055001989705488
c2st_knn,302,0.055,0.88,0.01203849090496078
c2st_knn,402,0.07,0.895,0.013912680982612073
c2st_knn,502,0.09,0.89,0.015585234793834389
c2st_knn,602,0.06,0.9,0.01712456369539723
c2st_knn,702,0.11,0.825,0.019067694493569435
c2st_knn,802,0.125,0.815,0.02078768448671326
c2st_knn,902,0.085,0.805,0.022602645533625038
c2st_knn,1000,0.12,0.74,0.024502473340835423
c2st_nn,2,0.1,0.885,0.14849628769792617
c2st_nn,102,0.1,0.885,0.6575794520461932
c2st_nn,202,0.08,0.89,0.6247995208809152
c2st_nn,302,0.1,0.865,0.6453381707007065
c2st_nn,402,0.13,0.905,0.686068982835859
c2st_nn,502,0.095,0.925,0.7145882291067391
c2st_nn,602,0.085,0.91,0.7508745490200818
c2st_nn,702,0.06,0.865,0.7797052598139271
c2st_nn,802,0.08,0.9,0.8218887759721838
c2st_nn,902,0.085,0.93,0.8565747873997316
c2st_nn,1000,0.105,0.895,0.8861907337256707
